Id,Lat,Lon
18,43.231,-11.519
65,33.842,-89.728
90,45.888,10.826
92,36.629,-121.47
107,40.635,-70.419
109,32.191,-111.25
174,39.313,-80.703
302,38.499,-104.06
371,37.441,-90.11
388,34.413,-79.587
406,47.559,-16.997
408,36.258,-124.409
442,22.7,-108.164
493,35.221,-124.885
533,35.768,-112.846
622,39.762,-85.396
626,48.991,-105.78
691,37.86,-85.311
698,49.065,-7.284
788,2.718,56.536
950,35.921,-113.931
979,32.9,-113.855
1027,38.848,-77.378
1110,33.468,96.52
1150,39.826,-3.859
1225,42.182,-81.624
1227,41.478,-94.162
1263,40.686,-115.198
1323,44.716,-110.643
1402,33.208,29.108
1407,36.531,-116.055
1444,38.074,-103.538
1504,50.39,-1.147
1740,41.144,-95.911
1868,43.211,-101.394
1903,37.722,-94.613
1931,38.223,-98.696
1967,39.267,-93.555
2006,24.362,-162.718
2040,61.392,12.176
2056,39.8,-82.284
2096,36.808,-122.219
2227,36.887,-88.598
2352,-21.037,100.085
2427,39.719,-99.236
2569,39.872,-76.549
2698,36.679,-91.469
2707,-31.11,143.419
2715,48.075,-6.566
2761,38.343,-69.18
2799,28.717,-91.72
3018,38.79,-92.447
3036,50.739,-10.59
3045,50.237,-10.163
3048,31.454,-98.832
3244,38.286,-102.248
3326,49.032,-12.309
3388,48.129,-5.308
3390,36.284,-101.384
3409,36.415,-108.075
3438,33.266,-120.208
3461,41.489,-91.394
3498,-23.344,109.499
3508,34.159,-102.328
3577,9.879,30.435
3673,35.585,-106.852
3810,42.642,-79.193
3885,30.897,-103.142
3971,33.793,128.685
4050,35.245,127.935
4065,49.245,8.704
4273,44.377,-0.279
4280,49.73,0.412
4309,38.014,-103.047
4312,44.708,-108.761
4571,42.921,-88.545
4593,38.59,-97.838
4615,54.371,1.14
4693,32.85,-101.043
4713,47.12,-3.125
4722,49.639,2.682
4837,34.372,-114.295
4990,36.055,143.003
5079,38.374,-31.091
5150,40.493,-74.595
5242,33.993,-116.971
5325,37.15,-125.367
5334,34.167,44.707
5339,36.022,-44.896
5460,57.22,-6.016
5467,38.259,-107.213
5490,33.119,-100.491
5532,38.605,-94.722
5554,40.31,-85.864
5567,38.685,-107.566
5604,49.176,-0.222
5613,45.646,-113.097
5617,38.034,-46.37
5662,36.821,-111.193
5667,34.794,-51.549
5715,39.564,-78.76
5778,58.218,13.652
5976,34.664,132.581
6068,38.189,-106.204
6098,37.901,-80.859
6168,31.785,-15.148
6260,34.106,-100.221
6295,40.281,-70.311
6348,38.15,-98.942
6384,42.186,-75.714
6406,42.191,-86.259
6417,36.406,-124.071
6472,36.177,-88.059
6483,34.244,-95.02
6641,38.096,-100.928
6692,38.186,-110.211
6738,31.446,-100.219
6811,43.578,-103.071
6860,38.296,-83.926
6865,39.188,-111.129
6898,57.884,16.795
6903,41.033,-95.298
6971,36.584,-99.204
6995,38.575,-108.048
6999,34.28,-118.516
7302,33.863,-96.638
7304,30.78,-114.346
7317,-14.439,-97.959
7390,49.54,-19.583
7413,34.845,143.308
7417,41.844,-85.627
7460,30.057,-96.769
7461,32.797,-110.675
7466,30.386,-84.499
7526,35.405,-89.71
7554,36.641,-78.637
7788,24.623,-69.143
7883,34.121,-59.345
8071,40.647,-86.025
8079,33.871,-111.329
8124,47.055,9.652
8188,41.855,-73.844
8194,44.527,-125.431
8252,44.335,-104.879
8295,41.63,-90.494
8296,15.659,58.305
