Id,Hour1,Hour2,Hour3,Lat,Lon,Posts,FrMeanLat,FrMeanLon
1,18,19,20,28.600,77.200,38,0.000,0.000
2,13,7,8,18.490,73.912,13,37.099,-73.990
3,21,9,12,48.182,16.326,7,50.233,7.941
4,7,16,8,50.766,3.255,18,48.919,-11.287
5,6,23,21,21.306,-157.858,4,21.337,-157.918
6,2,0,17,39.000,-95.413,6,37.116,-99.778
8,20,21,22,47.530,-122.032,231,36.004,-114.986
10,19,4,3,47.606,-122.332,69,37.505,-115.279
11,6,16,20,51.895,4.579,4,52.057,4.493
12,11,7,9,35.471,139.461,19,35.462,139.419
13,18,13,3,40.780,-73.976,16,40.749,-73.991
14,16,25,25,33.780,-84.415,2,39.812,-105.096
15,9,17,21,51.875,0.568,130,51.630,0.205
16,19,2,4,37.751,-122.440,214,35.346,-60.076
17,14,25,25,32.783,-96.806,1,33.971,-117.350
19,16,0,1,45.509,-122.446,43,45.399,-101.503
20,22,19,20,35.373,-119.018,416,36.434,-81.928
21,14,4,3,1.352,103.819,36,21.568,30.479
22,23,20,21,40.733,-73.987,47,55.145,12.265
23,21,13,11,51.581,0.022,5,51.506,-0.055
24,19,25,25,37.787,-122.399,1,41.038,-122.397
25,11,4,10,0.000,0.000,19,37.797,83.251
27,9,25,25,60.175,24.934,1,60.202,25.153
28,10,25,25,53.483,-2.266,1,53.807,-1.558
29,0,13,8,52.525,13.450,34,51.280,12.065
30,0,23,4,-35.347,149.088,109,-35.343,149.076
31,13,22,23,32.797,-97.245,122,36.868,-85.805
32,18,20,17,39.977,-105.131,9,39.029,-107.652
33,23,3,19,41.628,-73.916,3,51.588,-0.161
34,2,25,25,47.658,-117.426,1,47.665,-117.164
35,2,3,22,32.533,-117.016,82,21.775,-78.037
36,11,6,4,35.646,139.715,42,34.084,20.650
37,17,18,0,35.044,-85.308,12,36.001,-83.929
38,18,9,25,65.016,25.466,2,42.652,-0.285
39,23,13,16,51.515,-0.237,5,51.497,-0.117
40,14,16,25,41.392,2.168,4,41.984,2.821
41,6,19,20,34.690,134.941,121,35.253,137.831
42,17,22,9,49.600,18.149,9,49.599,18.144
43,15,16,25,47.606,-122.332,3,47.614,-122.337
44,21,20,19,35.373,-119.018,10,35.354,-119.034
45,20,3,18,49.265,-123.130,20,21.826,-39.684
46,14,25,25,39.294,-76.609,5,42.355,-88.270
48,5,25,25,40.932,-74.017,1,39.019,-76.441
49,1,0,23,44.881,-93.203,166,42.930,-87.789
50,20,19,18,33.870,-117.925,1026,34.871,-109.086
51,19,15,25,35.467,-97.516,3,36.528,-69.997
52,2,25,25,41.955,-87.870,1,37.774,-122.419
53,11,20,13,59.329,18.050,17,59.313,18.090
54,10,14,18,51.408,-3.497,25,52.667,-2.296
55,20,25,25,55.629,12.580,1,55.678,12.550
56,22,18,16,59.349,18.100,19,59.339,18.081
57,8,25,25,33.912,-118.337,3,33.524,-117.707
58,21,14,18,28.471,-80.537,79,39.201,-84.860
59,19,25,25,40.945,-81.483,3,34.944,-93.388
60,17,25,25,51.030,-1.393,4,44.364,-48.952
61,18,19,17,42.573,-71.410,89,40.805,-81.138
62,4,2,5,39.166,-78.159,1391,30.591,-72.734
64,7,6,4,35.685,139.751,65,35.404,139.210
66,20,16,25,42.277,-83.740,2,28.838,-20.152
67,2,15,19,41.882,-87.631,68,41.357,-92.682
68,8,25,25,1.292,103.871,3,31.031,11.765
69,20,16,18,42.880,-8.545,77,42.162,-7.761
70,8,1,2,-25.274,133.775,6,5.618,11.917
72,8,25,25,0.000,0.000,1,0.000,0.000
73,21,1,5,36.134,-95.903,142,27.498,-102.236
74,18,20,15,33.178,-97.103,65,33.135,-96.951
75,16,18,15,28.367,-81.560,10,37.111,-76.529
76,17,19,4,43.163,-87.964,8,41.688,-88.480
77,17,15,11,53.480,-2.237,8,53.473,-2.353
78,16,25,25,29.881,-81.324,1,25.591,-118.933
79,21,25,25,40.757,-73.985,1,40.704,-74.010
80,2,1,25,35.896,-78.685,3,35.908,-78.777
81,15,14,19,33.909,-84.395,77,34.721,-86.233
82,6,8,7,49.287,-123.118,5,49.239,-123.059
83,18,11,19,14.552,121.021,30,14.643,121.037
84,13,22,14,42.686,-71.378,186,41.781,-72.510
85,23,5,22,39.116,-77.216,4,39.188,-77.267
86,17,22,25,37.886,-122.297,2,28.184,-108.309
87,4,20,13,34.743,-86.667,39,34.766,-86.644
88,15,25,25,42.363,-71.053,1,42.169,-71.110
89,15,17,2,-7.249,112.750,16,22.322,-11.310
91,18,15,1,36.323,-78.450,7,35.651,-78.833
93,16,17,18,42.736,-84.508,452,37.210,-81.694
94,3,18,20,5.880,-71.891,13,40.424,-3.708
95,2,3,0,33.778,-84.372,311,34.426,-85.033
96,9,8,6,36.000,138.000,22,35.270,137.608
97,0,13,2,33.748,-84.387,38,32.611,-83.475
98,1,14,21,40.847,-74.450,11,38.909,-77.043
99,18,17,14,36.153,-95.992,29,28.445,-45.727
100,2,15,17,42.944,-71.514,10,39.176,-88.281
102,22,1,25,45.540,-122.885,4,51.512,-0.206
103,10,2,25,-12.461,130.841,2,-12.461,130.841
104,17,1,25,38.882,-76.990,7,38.898,-77.041
